date,population_sum,weighted_actual_sum,weighted_normal_sum,usa_w_avg_actual,usa_w_avg_normal,daily_shock_c,week_of_year,shock_zscore
1/5/2020,9947331.6,75666992.02,50244085.74,7.606762805,5.051011444,2.555751361,1,1.334672833
1/12/2020,9947331.6,74362860.95,38982577.3,7.475659195,3.918897938,3.556761257,2,1.543510126
1/19/2020,9947331.6,66902305.4,38726841.39,6.725653481,3.893188942,2.832464538,3,0.912965787
1/26/2020,9947331.6,44525316.89,38936356.63,4.476106626,3.914251399,0.561855227,4,0.172824961
2/2/2020,9947331.6,63639368.52,37864509.31,6.397632157,3.806499153,2.591133004,5,1.361291918
2/9/2020,9947331.6,65260284.04,39872626.11,6.560581939,4.008374076,2.552207864,6,0.961103595
2/16/2020,9947331.6,59846673.12,50069107.72,6.016354489,5.033420995,0.982933493,7,0.404685834
2/23/2020,9947331.6,61375422.15,56223027.28,6.170038822,5.652071283,0.517967539,8,0.179935249
3/1/2020,9947331.6,69037845.68,63777033.71,6.940338219,6.411471565,0.528866654,9,0.390847422
3/8/2020,9947331.6,98076908.26,68190952.59,9.859619866,6.855200503,3.004419363,10,1.834914602
3/15/2020,9947331.6,117801841,78127647.9,11.84255695,7.854131243,3.988425705,11,1.598575221
3/22/2020,9947331.6,110070626.9,93610847.58,11.06534208,9.410649141,1.654692936,12,1.206531033
3/29/2020,9947331.6,126685018.9,103738666.3,12.73557814,10.42879341,2.306784727,13,1.353572223
4/5/2020,9947331.6,118876381.2,116888671.2,11.95057991,11.75075647,0.199823438,14,0.138573627
4/12/2020,9947331.6,137941260.9,130135979.4,13.86716222,13.08250138,0.784660834,15,0.596497732
4/19/2020,9947331.6,110757690.9,140386147.5,11.13441225,14.11294538,-2.978533125,16,-1.499739359
4/26/2020,9947331.6,144268605.1,155529455.2,14.50324679,15.63529411,-1.132047324,17,-0.706919741
5/3/2020,9947331.6,164713670.8,168113818.3,16.55857846,16.90039349,-0.341815033,18,-0.274538875
5/10/2020,9947331.6,150443983.7,172469954.6,15.12405435,17.33831358,-2.214259233,19,-1.323418666
5/17/2020,9947331.6,170206728.9,183699647.3,17.1107927,18.46722867,-1.356435968,20,-1.214811545
5/24/2020,9947331.6,186352757.6,198537626.1,18.73394445,19.95888286,-1.22493841,21,-1.318536597
5/31/2020,9947331.6,209608345.7,210013700.9,21.07181646,21.1125666,-0.040750147,22,-0.057071597
6/7/2020,9947331.6,227517606.1,214212865.6,22.87222496,21.53470641,1.337518546,23,1.221949106
6/14/2020,9947331.6,226839605.6,219668164.3,22.80406593,22.08312471,0.720941215,24,0.685479742
6/21/2020,9947331.6,223243733.1,230314838.6,22.44257476,23.15342927,-0.71085451,25,-0.537533025
6/28/2020,9947331.6,239238382.7,243050975.7,24.05050845,24.43378641,-0.383277959,26,-0.621866277
7/5/2020,9947331.6,250103774,251456625.5,25.14280051,25.27880196,-0.136001452,27,-0.339272367
7/12/2020,9947331.6,260836345.6,253586841.8,26.22174027,25.49295148,0.728788791,28,1.011183615
7/19/2020,9947331.6,258126996.7,257980814.4,25.94937086,25.93467522,0.014695635,29,0.018084674
7/26/2020,9947331.6,255420088.9,256597986.3,25.67724684,25.79566024,-0.118413403,30,-0.175925289
8/2/2020,9947331.6,256539414.1,260249296.3,25.78977201,26.16272452,-0.372952505,31,-0.424985105
8/9/2020,9947331.6,243982057.1,258813161,24.52738753,26.01835059,-1.490963052,32,-2.35465001
8/16/2020,9947331.6,256147675.1,254283820.4,25.7503907,25.56301837,0.187372329,33,0.413624126
8/23/2020,9947331.6,248735061.1,249478321.9,25.00520452,25.07992414,-0.074719619,34,-0.065937386
8/30/2020,9947331.6,253926913.2,244695213.3,25.52713867,24.59908075,0.928057927,35,1.107556753
9/6/2020,9947331.6,242764918.2,240364953.2,24.40502921,24.16376199,0.24126722,36,0.272982096
9/13/2020,9947331.6,223250476,230161782.4,22.44325263,23.1380426,-0.694789979,37,-1.100714569
9/20/2020,9947331.6,204049000.9,218678183.4,20.51293845,21.98360245,-1.470663999,38,-1.784094375
9/27/2020,9947331.6,200501058.9,207852831.9,20.15626571,20.89533558,-0.73906987,39,-0.716115107
10/4/2020,9947331.6,180440428.7,194210354.4,18.13958115,19.52386451,-1.384283364,40,-0.8460509
10/11/2020,9947331.6,190020697.7,178098421.7,19.10268053,17.90414042,1.198540115,41,1.130705872
10/18/2020,9947331.6,170743948.5,159974300.2,17.1647991,16.08213204,1.082667066,42,0.995171267
10/25/2020,9947331.6,159704490.7,145060409.5,16.05500823,14.58284647,1.472161759,43,1.589864288
11/1/2020,9947331.6,123018601,130843770.6,12.36699509,13.15365526,-0.786660172,44,-0.293924144
11/8/2020,9947331.6,140509137.9,115650411.1,14.12530954,11.62627484,2.499034695,45,2.44415678
11/15/2020,9947331.6,134763204.3,103203352.8,13.54767386,10.37497863,3.172695227,46,1.045993526
11/22/2020,9947331.6,108577058.6,91554774.2,10.91519444,9.203953169,1.711241272,47,1.838082532
11/29/2020,9947331.6,103576343.5,79971381.26,10.41247519,8.039480785,2.372994408,48,1.748450732
12/6/2020,9947331.6,68006688.83,68305518.93,6.836676565,6.866717797,-0.030041232,49,-0.015536138
