raw_name,pretty_name,group,unit,transform,lag,notes
ret_xle,XLE return,returns,%,simple return,0,
ret_spy,SPY return,returns,%,simple return,0,
ret_idio,XLE idiosyncratic return,returns,%,residual return,0,
rv_xle,XLE realized variance,volatility,var^2,realized variance,0,
rv_spy,SPY realized variance,volatility,var^2,realized variance,0,
rv_idio,Idiosyncratic realized variance,volatility,var^2,realized variance,0,
log_rv_xle,log XLE realized variance,volatility,log(var^2),log transform,0,
log_rv_spy,log SPY realized variance,volatility,log(var^2),log transform,0,
log_rv_idio,log idiosyncratic realized variance,volatility,log(var^2),log transform,0,
rvol_xle,XLE realized volatility,volatility,%,sqrt(rv),0,
rvol_spy,SPY realized volatility,volatility,%,sqrt(rv),0,
rvol_idio,Idiosyncratic realized volatility,volatility,%,sqrt(rv),0,
n_intra,Intraday observations count,microstructure,count,none,0,
etf_HYG_ret_lag1,HYG return (t-1),etf,%,simple return,1,
etf_HYG_absret_lag1,|HYG return| (t-1),etf,%,absolute return,1,
etf_TLT_ret_lag1,TLT return (t-1),etf,%,simple return,1,
etf_TLT_absret_lag1,|TLT return| (t-1),etf,%,absolute return,1,
etf_USO_ret_lag1,USO return (t-1),etf,%,simple return,1,
etf_USO_absret_lag1,|USO return| (t-1),etf,%,absolute return,1,
etf_log_^VIX_lag1,log VIX (t-1),volatility index,log index,log,1,
etf_log_^OVX_lag1,log OVX (t-1),volatility index,log index,log,1,
macro_EFFR_lag1,Effective Fed Funds Rate (t-1),macro,%,level,1,
macro_DGS2_lag1,2Y Treasury yield (t-1),macro,%,level,1,
macro_DGS10_lag1,10Y Treasury yield (t-1),macro,%,level,1,
macro_DCOILWTICO_lag1,WTI crude oil price (t-1),commodity,USD/barrel,level,1,
macro_DHHNGSP_lag1,Natural gas spot price (t-1),commodity,USD/MMBtu,level,1,
wx_temperature_2m_mean_lag1,"Temperature (2m mean, t-1)",weather,°C,level,1,
wx_temperature_2m_mean_anom_z_lag1,"Temperature anomaly (z-score, t-1)",weather,z-score,standardized anomaly,1,
wx_temperature_2m_mean_anom_absz_lag1,|Temperature anomaly| (t-1),weather,|z|,absolute anomaly,1
